TPR,power,FDR,FPR,precision,F1,n_discoveries,n_true_signals,TP,FP,TN,FN,method,dataset,seed
0.7,0.7,0.10256410256410256,0.01238390092879257,0.8974358974358975,0.7865168539325842,39,50,35,4,319,15,BH,30_satellite,42
0.82,0.82,0.29310344827586204,0.05263157894736842,0.7068965517241379,0.7592592592592593,58,50,41,17,306,9,SpatialFDR,30_satellite,42
0.54,0.54,0.03571428571428571,0.0022222222222222222,0.9642857142857143,0.6923076923076923,28,50,27,1,449,23,BH,30_satellite,43
0.9,0.9,0.7527472527472527,0.30444444444444446,0.24725274725274726,0.3879310344827587,182,50,45,137,313,5,SpatialFDR,30_satellite,43
0.64,0.64,0.058823529411764705,0.0044444444444444444,0.9411764705882353,0.7619047619047621,34,50,32,2,448,18,BH,30_satellite,44
0.92,0.92,0.6461538461538462,0.18666666666666668,0.35384615384615387,0.5111111111111112,130,50,46,84,366,4,SpatialFDR,30_satellite,44
0.72,0.72,0.07692307692307693,0.006666666666666667,0.9230769230769231,0.8089887640449438,39,50,36,3,447,14,BH,30_satellite,45
0.94,0.94,0.43373493975903615,0.08,0.5662650602409639,0.7067669172932332,83,50,47,36,414,3,SpatialFDR,30_satellite,45
0.68,0.68,0.05555555555555555,0.0044444444444444444,0.9444444444444444,0.7906976744186047,36,50,34,2,448,16,BH,30_satellite,46
0.78,0.78,0.7692307692307693,0.28888888888888886,0.23076923076923078,0.35616438356164387,169,50,39,130,320,11,SpatialFDR,30_satellite,46
